# timestamp tx ty tz qx qy qz qw
1773115269.508387089 14.321610254 20.084028961 -0.997009231 -0.144473726 -0.073863582 0.890209088 -0.425675103
1773115269.603567362 14.321455250 20.084110870 -0.997044009 -0.146013993 -0.073607465 0.890189455 -0.425234746
1773115269.791946650 14.319648898 20.084700834 -0.997071307 -0.145877513 -0.074379666 0.890114085 -0.425304988
1773115269.815355778 14.320346768 20.084563135 -0.997827821 -0.145388846 -0.077701206 0.889744390 -0.425651884
1773115269.899502039 14.322321225 20.084447341 -0.999506039 -0.145226724 -0.078558384 0.889029994 -0.427040336
1773115270.000406742 14.323405038 20.084610923 -1.000782999 -0.144891256 -0.079952829 0.888619167 -0.427749979
1773115270.101278782 14.324424000 20.084701213 -1.001020639 -0.144906450 -0.079236746 0.888491125 -0.428143878
1773115270.234622002 14.324298064 20.085654095 -1.000617853 -0.146619426 -0.077361027 0.888696899 -0.427476124
1773115270.305694342 14.323286098 20.085735999 -1.001285433 -0.149629493 -0.075405519 0.888639820 -0.426900799
1773115270.406292200 14.323278726 20.085842870 -1.000651865 -0.148438816 -0.075989148 0.888831478 -0.426813978
1773115270.608639956 14.322656736 20.084441293 -1.000375926 -0.148252269 -0.076443575 0.888816513 -0.426828831
1773115270.633363724 14.323392948 20.085580048 -1.001717361 -0.149511569 -0.075449232 0.888843918 -0.426509312
1773115270.703311443 14.324803444 20.085134790 -1.003071413 -0.149274319 -0.076031022 0.888501342 -0.427202325
1773115270.805638075 14.327105151 20.084823693 -1.003542164 -0.149570039 -0.075711238 0.888025214 -0.428144638
1773115270.929347038 14.328421301 20.084105062 -1.003964706 -0.150610907 -0.075557315 0.888053832 -0.427747400
1773115271.001863241 14.329736604 20.083179027 -1.003552599 -0.151193067 -0.075651616 0.887553569 -0.428562892
1773115271.113166094 14.330506903 20.082465253 -1.002678111 -0.148647881 -0.077279143 0.887352731 -0.429577551
1773115271.223988056 14.331278240 20.082586277 -1.000898231 -0.151440210 -0.073981458 0.887276916 -0.429339353
1773115271.388664246 14.335707384 20.082467835 -0.998823116 -0.144639315 -0.076356381 0.885786537 -0.434317145
1773115271.412928343 14.350891153 20.078738487 -0.994291334 -0.130031009 -0.086163092 0.881850515 -0.444980367
1773115271.507354259 14.369103650 20.071320716 -0.986823651 -0.117110557 -0.095169406 0.875905068 -0.458277441
1773115271.602805614 14.389345012 20.061823379 -0.977524900 -0.104967980 -0.103436640 0.868725090 -0.472862880
1773115271.707123280 14.411021054 20.053472595 -0.971483734 -0.100029077 -0.108749571 0.860642620 -0.487300724
1773115271.818734646 14.434768511 20.046629434 -0.967942511 -0.106434592 -0.107246947 0.852962414 -0.499624750
1773115271.908055782 14.458614957 20.040671724 -0.962798151 0.121984854 0.097384929 -0.845742413 0.510250568
1773115272.002294779 14.485942841 20.032988573 -0.953356403 0.131178682 0.092645023 -0.837908468 0.521649741
1773115272.205303907 14.520352434 20.025301572 -0.942343374 0.130252161 0.093483648 -0.827933423 0.537421091
1773115272.241233587 14.556583854 20.017243057 -0.925391809 0.127230721 0.096990507 -0.815955217 0.555537819
1773115272.306915760 14.591840413 20.011459948 -0.907715651 0.125575383 0.096551959 -0.803679536 0.573591968
1773115272.401806831 14.621340997 20.008691502 -0.886657051 0.122926086 0.098720316 -0.792734751 0.588825179
1773115272.507640839 14.645127888 20.008349829 -0.858245561 0.119948713 0.104214109 -0.784639547 0.599243279
1773115272.609026670 14.662707441 20.008604553 -0.826102632 0.119282606 0.110854218 -0.779707291 0.604598663
1773115272.712616682 14.678008974 20.011770585 -0.790201908 0.113257658 0.121813598 -0.777822019 0.606075125
1773115272.823335171 14.691564966 20.019201346 -0.754908985 0.112707729 0.131520962 -0.776783258 0.605480779
1773115273.005322218 14.703430325 20.026277739 -0.720047334 0.121025564 0.137812207 -0.780223873 0.598006117
1773115273.027432442 14.714423388 20.033277113 -0.682112913 0.130728948 0.146449860 -0.785874164 0.586399334
1773115273.104740381 14.724248641 20.042912178 -0.634740248 0.129831126 0.146163190 -0.795126917 0.574067406
1773115273.230528831 14.734190136 20.054144471 -0.580032399 0.130848386 0.149144834 -0.806515654 0.556926403
1773115273.322392464 14.744305766 20.072014374 -0.515553549 0.143011439 0.148161481 -0.816674948 0.539108461
1773115273.417385578 14.756823487 20.096574749 -0.443840004 0.142491433 0.157567553 -0.828856306 0.517557612
1773115273.502754450 14.775456045 20.124213975 -0.368167106 -0.137546730 -0.177260394 0.840179723 -0.493718222
1773115273.600225449 14.799352856 20.150781650 -0.295887032 -0.127810931 -0.179574118 0.852231171 -0.474467631
1773115273.778728962 14.830289612 20.166008281 -0.234883268 -0.120160333 -0.165153756 0.858068565 -0.471173078
1773115273.800022840 14.853436115 20.177491242 -0.197687704 -0.126596273 -0.140161139 0.860621863 -0.472925203
1773115273.902384043 14.869141435 20.189521049 -0.176809424 -0.128955618 -0.125070203 0.868684745 -0.461643484
1773115274.010233164 14.881104676 20.204182892 -0.165704117 -0.122688961 -0.119821549 0.882300293 -0.438333672
1773115274.102648497 14.889356448 20.216162529 -0.158623775 -0.117903309 -0.102254685 0.896590163 -0.414450079
1773115274.221531391 14.895254007 20.228910081 -0.149261238 -0.126838231 -0.093166598 0.912981048 -0.376427488
1773115274.318700314 14.907916140 20.249836964 -0.132250205 -0.139198734 -0.078206313 0.927484524 -0.338053165
1773115274.408648014 14.929824761 20.273161716 -0.112290320 -0.136151009 -0.078071689 0.936778754 -0.312751149
1773115274.576697111 14.957217168 20.297310040 -0.094950873 -0.132326603 -0.076407973 0.944807557 -0.289810580
1773115274.593132496 14.997285355 20.326884370 -0.084716797 -0.125547363 -0.067053272 0.951777056 -0.271775927
1773115274.696934223 15.054268051 20.361875302 -0.079247867 -0.117502245 -0.060204870 0.957335965 -0.257053390
1773115274.805760860 15.121572233 20.398199202 -0.067819271 -0.103699463 -0.053519643 0.961272395 -0.249674690
